time,open,high,low,close,volume,turnover,MA5,MA10,MA20,RSI,EMA12,EMA26,MACD,Signal,Histogram,Upper_Band,Lower_Band,Trade_Signal,Position,Cash,Holdings,Portfolio,Returns,Cum_Returns,Cum_Max,Drawdown
2024-10-28,71.950,71.950,70.600,71.650,29510496,2107391569.000,,,,,71.65,71.65,0.0,0.0,0.0,,,0,0,100000.0,0.0,100000.0,,,,
2024-10-29,71.350,72.000,71.000,71.350,23231310,1655789963.000,,,,,71.60384615384616,71.62777777777778,-0.02393162393161674,-0.004786324786323348,-0.019145299145293393,,,-1,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-10-30,71.550,71.600,70.700,70.950,22666162,1608969764.000,,,,,71.50325443786983,71.5775720164609,-0.0743175785910779,-0.01869257554727426,-0.05562500304380365,,,0,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-10-31,71.000,71.650,71.000,71.450,11862751,846307516.000,,,,,71.49506144742831,71.5681222374638,-0.07306079003548405,-0.029566218444916217,-0.043494571590567827,,,0,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-11-01,71.600,72.100,71.250,71.600,11937990,855933633.000,71.4,,,,71.51120584013165,71.57048355320723,-0.0592777130755735,-0.035508517371047675,-0.023769195704525826,,,0,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-11-04,71.600,71.850,71.050,71.450,15184006,1084539255.000,71.36,,,,71.50178955703447,71.56155884556225,-0.05976928852777519,-0.04036067160239318,-0.01940861692538201,,,0,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-11-05,71.000,71.950,71.000,71.850,17353000,1243551878.000,71.46000000000001,,,,71.55536039441378,71.58292485700208,-0.027564462588301808,-0.037801429799574904,0.010236967211273096,,,1,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-11-06,71.850,71.850,70.650,71.000,30572363,2174132953.000,71.47,,,,71.46992033373473,71.5397452379649,-0.06982490423015975,-0.04420612468569187,-0.025618779544467875,,,-1,1391,56.65,99943.35,100000.0,0.0,1.0,1.0,0.0
2024-11-07,71.000,71.650,71.000,71.450,17126948,1221713869.000,71.47,,,,71.46685566700631,71.53309744256009,-0.06624177555377742,-0.04861325485930898,-0.017628520694468436,,,0,0,98817.65,0.0,98817.65,-0.011823500000000098,0.9881764999999999,1.0,1.1823500000000098
2024-11-08,71.450,71.850,70.600,70.800,27026598,1917232438.000,71.31,71.35499999999999,,,71.36426248746687,71.47879392829638,-0.11453144082950928,-0.061796892053349047,-0.05273454877616023,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-11,70.200,70.450,69.700,70.300,27934587,1957354408.000,71.08,71.22,,,71.20052979708736,71.39147585953368,-0.19094606244632928,-0.0876267261319451,-0.10331933631438418,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-12,70.250,70.250,68.500,69.100,41064632,2837172724.000,70.53,70.995,,,70.87737136676623,71.22173690697564,-0.34436554020940946,-0.13897448894743797,-0.2053910512619715,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-13,69.000,71.150,68.800,70.000,33320178,2337444557.000,70.33,70.9,,,70.7423911564945,71.13123787682929,-0.38884672033478296,-0.18894893522490697,-0.199897785109876,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-14,69.600,70.300,69.300,69.650,19202058,1340940777.000,69.97,70.72,,35.294117647058826,70.57433097857228,71.02151655261972,-0.4471855740474382,-0.24059626298941322,-0.20658931105802497,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-15,69.800,71.150,69.800,70.550,24660887,1742591994.000,69.91999999999999,70.615,,42.85714285714286,70.57058775109962,70.9865894005738,-0.4160016494741825,-0.2756773402863671,-0.1403243091878154,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-18,70.550,71.400,70.300,70.850,14878412,1057710643.000,70.03,70.55499999999999,,46.75324675324676,70.61357425093045,70.97647166719797,-0.3628974162675149,-0.29312135548259666,-0.06977606078491827,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-19,70.900,71.250,70.800,70.950,12392416,880718187.000,70.4,70.465,,50.0,70.66533205847962,70.97451080296108,-0.3091787444814571,-0.29633283328236876,-0.012845911199088345,,,0,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-20,70.900,71.450,70.600,71.300,9661718,687601626.000,70.66,70.495,,48.96551724137932,70.76297328025198,70.99862111385285,-0.23564783360086494,-0.284195833346068,0.048547999745203074,,,1,0,98817.65,0.0,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-21,71.150,71.400,70.700,71.000,10001245,711714700.000,70.92999999999999,70.45,,45.94594594594595,70.79943892944398,70.99872325356745,-0.19928432412346808,-0.26721353150154803,0.06792920737807995,,,0,1388,61.45,98756.2,98817.65,0.0,0.9881764999999999,1.0,1.1823500000000098
2024-11-22,70.950,71.300,69.900,70.450,17074407,1202913659.000,70.91,70.415,70.885,43.5897435897436,70.7456790941449,70.95807708663652,-0.21239799249161706,-0.25625042369956186,0.0438524312079448,72.30333853875806,69.46666146124196,0,1388,61.45,98478.6,98540.05,-0.0028092147506036946,0.9854005,1.0,1.4599499999999987
2024-11-25,70.450,71.300,70.400,70.900,20004915,1421105088.000,70.92,70.475,70.8475,43.94904458598727,70.76942077196877,70.953775080219,-0.18435430825023502,-0.2418712006096965,0.057516892359461474,72.21958063289222,69.47541936710778,0,1388,61.45,97784.6,97846.05,-0.007042821675044775,0.9784605000000001,1.0,2.1539499999999934
2024-11-26,70.600,71.450,70.400,71.200,16281009,1157925475.000,70.97,70.685,70.84,51.36986301369863,70.83566373012742,70.97201396316575,-0.13635023303832838,-0.22076700709542288,0.0844167740570945,72.20211909209608,69.47788090790392,0,1388,61.45,97992.8,98054.25,0.002127832446991995,0.9805425000000001,1.0,1.9457499999999905
2024-11-27,71.200,72.000,71.050,72.000,15719928,1126595724.000,71.11,70.88499999999999,70.8925,53.594771241830074,71.0147923870309,71.04816107700532,-0.03336868997442366,-0.18328734367122304,0.14991865369679938,72.35006646503685,69.43493353496315,0,1388,61.45,98825.6,98887.05,0.00849325755895336,0.9888705000000001,1.0,1.1129499999999903
2024-11-28,71.650,72.200,71.450,71.650,14354597,1031990591.000,71.24,71.08500000000001,70.9025,55.78231292517007,71.11251663517999,71.09274173796788,0.019774897212101905,-0.14267489549455806,0.16244979270665996,72.37879514949454,69.42620485050547,0,1388,61.45,99450.2,99511.65,0.006316297230021473,0.9951165000000001,1.0,0.48834999999999296
2024-11-29,71.800,72.700,71.700,72.300,16965739,1228727215.000,71.61,71.26,70.9375,63.333333333333336,71.29520638361383,71.18216827589619,0.11303810771764233,-0.09153229485211799,0.20457040256976033,72.51326213807462,69.36173786192538,0,1388,61.45,99658.4,99719.85,0.0020922173433965963,0.9971985000000002,1.0,0.280149999999979
2024-12-02,72.500,72.800,71.800,72.300,12966653,936536296.000,71.89,71.405,70.97999999999999,75.3968253968254,71.449790016904,71.2649706258298,0.18481939107419976,-0.036261957666854444,0.2210813487410542,72.65658801392026,69.30341198607972,-1,1388,61.45,100630.0,100691.45,0.009743295843305022,1.0069145000000002,1.0069145000000002,0.0
2024-12-03,72.000,72.450,71.400,72.250,14467293,1040486913.000,72.1,71.535,71.0,70.64220183486239,71.57289924507262,71.33793576465723,0.23496348041538795,0.017983129949594036,0.21698035046579392,72.72900945174125,69.27099054825875,-1,0,99997.45,0.0,99997.45,-0.006892342895052139,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-04,72.000,72.950,71.850,72.500,21657446,1570951177.000,72.2,71.655,71.075,76.63551401869158,71.71553013044607,71.42401459690484,0.2915155335412294,0.07268961066792111,0.21882592287330827,72.92958180844379,69.22041819155622,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-05,71.900,72.850,71.900,72.500,13134528,952617503.000,72.37,71.80499999999999,71.1275,71.91011235955057,71.83621780268514,71.50371721935633,0.33250058332880883,0.12465180520009865,0.20784877812871017,73.08345581695876,69.17154418304123,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-06,72.350,73.700,72.350,72.750,28513363,2086240488.000,72.46000000000001,72.035,71.225,71.5909090909091,71.97679967919512,71.59603446236697,0.3807652168281521,0.17587448752570936,0.20489072930244276,73.30282781313869,69.1471721868613,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-09,72.950,74.200,72.750,74.000,24990093,1840200160.000,72.8,72.345,71.41,77.47747747747748,72.28806126701126,71.77410598367312,0.5139552833381344,0.2434906466881944,0.27046463664994,73.77945474518374,69.04054525481625,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-10,75.000,75.000,73.800,73.800,26684799,1984087464.000,73.10999999999999,72.605,71.645,73.14814814814815,72.5206672259326,71.92417220710475,0.5964950188278522,0.314091521116126,0.2824034977117262,73.98186699844496,69.30813300155503,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-11,74.000,74.750,74.000,74.100,19222178,1432412321.000,73.42999999999999,72.81500000000001,71.85,78.7037037037037,72.76364149886605,72.08534463620809,0.6782968626579589,0.38693258942449255,0.2913642732334663,74.29604944650286,69.40395055349713,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-12,73.950,74.750,73.950,74.550,15627760,1164156093.000,73.84,73.10499999999999,72.095,88.67924528301887,73.03846588365589,72.26791170019268,0.7705541834632044,0.46365690823223493,0.30689727523096944,74.59424199034747,69.59575800965253,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-13,74.350,74.550,73.850,74.050,22042690,1635226206.000,74.1,73.28,72.27,79.43925233644859,73.19408651693959,72.39991824091915,0.7941682760204429,0.5297591817898766,0.26440909423056635,74.80364725663476,69.73635274336523,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-16,74.100,75.400,74.050,74.850,34739564,2606804027.000,74.27,73.535,72.47,81.19658119658119,73.44884243741042,72.58140577862883,0.8674366587815854,0.5972946771882184,0.270141981593367,75.15845484873458,69.78154515126542,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-17,74.700,75.400,74.700,75.100,28864759,2170471920.000,74.53,73.82000000000001,72.6775,79.24528301886792,73.70286667780881,72.76796831354521,0.9348983642636028,0.6648154146032953,0.27008294966030755,75.50880525971407,69.84619474028592,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
2024-12-18,75.100,75.750,75.000,75.650,21980134,1660205850.000,74.84,74.135,72.89500000000001,86.36363636363636,74.00242565045362,72.98145214217149,1.0209735082821254,0.7360470333390614,0.284926474943064,75.94094640033023,69.84905359966979,-1,0,99997.45,0.0,99997.45,0.0,0.9999745000000002,1.0069145000000002,0.6892342895052107
