time,open,high,low,close,volume,turnover,MA5,MA10,MA20,RSI,EMA12,EMA26,MACD,Signal,Histogram,Upper_Band,Lower_Band,Trade_Signal,Position,Cash,Holdings,Portfolio,Returns,Cum_Returns,Cum_Max,Drawdown
2024-10-28,95.700,98.400,95.050,96.650,69415882,6746531908.000,,,,,96.65,96.65,0.0,0.0,0.0,,,0,0,100000.0,0.0,100000.0,,,,
2024-10-29,97.350,99.200,96.850,97.550,57004880,5589116781.000,,,,,96.78846153846155,96.71666666666667,0.07179487179487865,0.01435897435897573,0.05743589743590292,,,1,0,100000.0,0.0,100000.0,0.0,1.0,1.0,0.0
2024-10-30,96.150,97.150,95.200,95.850,51472115,4943795665.000,,,,,96.64408284023669,96.65246913580248,-0.008386295565784962,0.009809920374023591,-0.018196215939808552,,,-1,1040,4.0,99996.0,100000.0,0.0,1.0,1.0,0.0
2024-10-31,95.350,96.800,94.550,94.550,47207811,4506636096.000,,,,,96.32191624943104,96.49673068129859,-0.17481443186754575,-0.027114950074290278,-0.14769948179325548,,,0,0,99168.0,0.0,99168.0,-0.008319999999999994,0.99168,1.0,0.8319999999999994
2024-11-01,95.750,95.950,94.050,95.000,38347683,3635903247.000,95.92,,,,96.11854451874935,96.38586174194313,-0.2673172231937855,-0.07515540469818932,-0.19216181849559616,,,0,0,99168.0,0.0,99168.0,0.0,0.99168,1.0,0.8319999999999994
2024-11-04,95.600,96.450,95.200,96.050,31007532,2974835663.000,95.8,,,,96.10799920817253,96.36098309439178,-0.2529838862192548,-0.11072110100240243,-0.1422627852168524,,,0,0,99168.0,0.0,99168.0,0.0,0.99168,1.0,0.8319999999999994
2024-11-05,95.100,98.650,95.100,98.400,50986901,4966869898.000,95.97,,,,96.46061471460753,96.5120213836961,-0.05140666908856417,-0.09885821461963479,0.047451545531070616,,,1,0,99168.0,0.0,99168.0,0.0,0.99168,1.0,0.8319999999999994
2024-11-06,96.500,96.750,93.750,94.400,88756404,8430966462.000,95.67999999999999,,,,96.14359706620637,96.35557535527417,-0.21197828906780103,-0.12148222950926804,-0.09049605955853299,,,-1,1027,62.5,99105.5,99168.0,0.0,0.99168,1.0,0.8319999999999994
2024-11-07,93.800,96.150,93.250,95.650,57481876,5459536920.000,95.9,,,,96.06765905602077,96.30331051414275,-0.2356514581219784,-0.14431607523181011,-0.09133538289016829,,,0,0,96395.1,0.0,96395.1,-0.02796164085188768,0.963951,1.0,3.6048999999999998
2024-11-08,98.000,99.500,94.000,94.000,74794561,7162453971.000,95.7,95.81,,,95.74955766278681,96.13269492050254,-0.38313725771573104,-0.1920803117285943,-0.19105694598713674,,,0,0,96395.1,0.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-11,91.350,96.750,90.050,94.100,103787086,9629283359.000,95.31,95.555,,,95.49577956081961,95.98212492639125,-0.486345365571637,-0.25093332249720285,-0.23541204307443414,,,0,0,96395.1,0.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-12,93.650,95.000,89.950,90.550,89444897,8174459883.000,93.74,94.85499999999999,,,94.7348903976166,95.57974530221412,-0.8448549045975255,-0.36971763891726744,-0.4751372656802581,,,0,0,96395.1,0.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-13,89.450,90.900,89.450,90.550,63573164,5732849662.000,92.97,94.325,,,94.09106110567558,95.20717157612418,-1.1161104704486036,-0.5189962052235347,-0.5971142652250688,,,0,0,96395.1,0.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-14,89.150,90.450,87.650,87.950,67262128,5969140130.000,91.42999999999999,93.66499999999999,,29.186602870813388,93.14628247403319,94.6696033112261,-1.5233208371929123,-0.7198611316174103,-0.8034597055755021,,,1,0,96395.1,0.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-15,88.000,88.750,87.000,87.200,49182995,4313307796.000,90.07,92.885,,28.175519630484985,92.23146978572039,94.11629936224638,-1.8848295765259877,-0.9528548205991259,-0.9319747559268619,,,1,1095,35.1,96360.0,96395.1,0.0,0.963951,1.0,3.6048999999999998
2024-11-18,86.850,87.150,85.300,86.300,70101208,6042070447.000,88.51,91.91,,24.018475750577352,91.31893597253264,93.53731422430221,-2.2183782517695647,-1.2059595068332136,-1.012418744936351,,,1,1095,35.1,95100.75,95135.85,-0.013063423348282255,0.9513585,1.0,4.86415
2024-11-19,86.950,87.450,84.700,85.250,68824611,5886874237.000,87.45,90.595,,24.76190476190476,90.38525351521993,92.92343909657612,-2.5381855813561884,-1.4724047217378087,-1.0657808596183798,,,1,1095,35.1,95210.25,95245.35,0.0011509856694400522,0.9524535,1.0,4.754650000000005
2024-11-20,84.800,85.250,83.500,84.750,70389532,5938312904.000,86.28999999999999,89.63,,25.742574257425744,89.51829143595532,92.31799916349641,-2.79970772754109,-1.737865322898465,-1.0618424046426251,,,1,1095,35.1,92856.0,92891.1,-0.024717742125993536,0.9289109999999999,1.0,7.108900000000007
